iter	RMSE
0	3.256589353
1	3.17993554
2	3.101692068
3	3.025019715
4	2.954266276
5	2.887841709
6	2.821205243
7	2.758908577
8	2.695326776
9	2.642708724
10	2.589654637
11	2.537523327
12	2.484380472
13	2.435631113
14	2.388450707
15	2.344682387
16	2.30247818
17	2.263507044
18	2.228844376
19	2.18891344
20	2.153683715
21	2.120621766
22	2.089178855
23	2.053947273
24	2.025381483
25	1.995647375
26	1.965887237
27	1.940574897
28	1.915968242
29	1.892917881
30	1.870241192
31	1.84921111
32	1.828626586
33	1.809502871
34	1.791277515
35	1.771183655
36	1.754177753
37	1.739966135
38	1.724539344
39	1.710321466
40	1.696707021
41	1.683362291
42	1.669077313
43	1.660757594
44	1.648523501
45	1.635491945
46	1.624857725
47	1.613420706
48	1.602965448
49	1.592832837
50	1.580201654
51	1.570440268
52	1.562023759
53	1.554153862
54	1.546920562
55	1.540153684
56	1.53239402
57	1.525164089
58	1.519367534
59	1.513962583
60	1.50733856
61	1.502297196
62	1.495940764
63	1.491998173
64	1.486211027
65	1.481942863
66	1.476744023
67	1.472289234
68	1.468281726
69	1.461378142
70	1.455919253
71	1.451912189
72	1.446503843
73	1.443264803
74	1.439288346
75	1.436607445
76	1.433530079
77	1.428896807
78	1.424663727
79	1.418823678
80	1.41583069
81	1.411254591
82	1.407712046
83	1.404762905
84	1.402732078
85	1.400276309
86	1.397050841
87	1.394558301
88	1.391564201
89	1.388324426
90	1.386717464
91	1.383853899
92	1.38156039
93	1.37953962
94	1.376832413
95	1.374820538
96	1.372884546
97	1.370253973
98	1.367992958
99	1.367221042
100	1.36431268
101	1.362047588
102	1.357810789
103	1.356717923
104	1.35340899
105	1.351667167
106	1.349394734
107	1.347396325
108	1.344957724
109	1.342189982
110	1.338796563
111	1.337097889
112	1.334688174
113	1.332167761
114	1.330924592
115	1.327296006
116	1.326205344
117	1.325440034
118	1.322106707
119	1.319473075
120	1.318869237
121	1.316992812
122	1.315365462
123	1.312124136
124	1.310382612
125	1.307351038
126	1.305081479
127	1.304468944
128	1.303304193
129	1.300654311
130	1.298338384
131	1.295039464
132	1.294084779
133	1.291871389
134	1.289584268
135	1.288269616
136	1.28724679
137	1.284446234
138	1.283677896
139	1.282596839
140	1.280904183
141	1.278176875
142	1.276635339
143	1.276484492
144	1.274993169
145	1.272549132
146	1.270304724
147	1.266994077
148	1.265915585
149	1.263241494
150	1.261231708
151	1.260348948
152	1.258863327
153	1.258257089
154	1.256508417
155	1.255372162
156	1.253461727
157	1.25203582
158	1.249751946
159	1.248652411
160	1.247723217
161	1.247265473
162	1.246228001
163	1.244198492
164	1.243435709
165	1.242751301
166	1.240066881
167	1.238034048
168	1.236265752
169	1.235669719
170	1.235239972
171	1.233678099
172	1.230791777
173	1.230149315
174	1.227985604
175	1.225749752
176	1.224089821
177	1.2228258
178	1.21967216
179	1.218943071
180	1.217273046
181	1.216167333
182	1.215682058
183	1.213858806
184	1.211621686
185	1.21097568
186	1.208489031
187	1.205782053
188	1.203910169
189	1.203506229
190	1.20234767
191	1.201464399
192	1.201024551
193	1.200633888
194	1.198939258
195	1.198227303
196	1.197642527
197	1.196960847
198	1.196527428
199	1.196351408
200	1.195813291
201	1.195585962
202	1.19338649
203	1.191315038
204	1.19107646
205	1.189665993
206	1.188565695
207	1.188168283
208	1.187447646
209	1.186340919
210	1.184478866
211	1.182640968
212	1.181933129
213	1.181170511
214	1.180411661
215	1.179929615
216	1.179757327
217	1.179191668
218	1.177536563
219	1.177308216
220	1.175949804
221	1.175056338
222	1.173882717
223	1.173119896
224	1.172500213
225	1.171948113
226	1.170011313
227	1.169707576
228	1.169525781
229	1.168831168
230	1.167441386
231	1.166359531
232	1.165688604
233	1.16266954
234	1.160053143
235	1.157805122
236	1.157073706
237	1.155877111
238	1.153882836
239	1.151659883
240	1.149676029
241	1.147434381
242	1.146445926
243	1.145557124
244	1.145141152
245	1.143615518
246	1.143134085
247	1.142894353
248	1.142664871
249	1.140053942
250	1.139835766
251	1.139515028
252	1.13826706
253	1.13631859
254	1.135221013
255	1.134229383
256	1.132530416
257	1.131208823
258	1.130651191
259	1.130204889
260	1.128248481
261	1.125617095
262	1.12346225
263	1.122994708
264	1.122830063
265	1.121868726
266	1.120253767
267	1.119378094
268	1.119256213
269	1.118527615
270	1.116177234
271	1.115817509
272	1.115664266
273	1.113220456
274	1.113047076
275	1.112521373
276	1.112439028
277	1.112273813
278	1.110657098
279	1.108908848
280	1.108473666
281	1.108336558
282	1.106688432
283	1.106207045
284	1.106062094
285	1.104368692
286	1.103469052
287	1.103342689
288	1.103216787
289	1.100918055
290	1.098877061
291	1.098725857
292	1.098203477
293	1.094872935
294	1.094298636
295	1.093872983
296	1.093368018
297	1.092684053
298	1.092536254
299	1.092389744
300	1.092305501
301	1.092237064
302	1.09062267
303	1.088369461
304	1.08638486
305	1.086276485
306	1.084640803
307	1.084007817
308	1.080766222
309	1.078850303
310	1.078013397
311	1.076562536
312	1.07448482
313	1.073778918
314	1.073326796
315	1.073125092
316	1.070722418
317	1.069194631
318	1.066497275
319	1.065711829
320	1.064950228
321	1.064878447
322	1.062716891
323	1.062617413
324	1.060795146
325	1.059311375
326	1.057698345
327	1.055274186
328	1.05412624
329	1.052812455
330	1.051336464
331	1.048928619
332	1.047697297
333	1.04578357
334	1.044943006
335	1.042330503
336	1.042211067
337	1.040393488
338	1.039517349
339	1.038732094
340	1.036741156
341	1.034722725
342	1.03353633
343	1.031950677
344	1.030773975
345	1.028534887
346	1.028440143
347	1.026558122
348	1.026107462
349	1.023910064
350	1.022505625
351	1.02122098
352	1.019854671
353	1.019453674
354	1.018183575
355	1.016795631
356	1.016645832
357	1.014972016
358	1.014538475
359	1.013286786
360	1.01140551
361	1.009324552
362	1.00924417
363	1.008420979
364	1.008267405
365	1.006014029
366	1.004456717
367	1.003974662
368	1.002271068
369	1.002225764
370	1.001317517
371	0.9995412598
372	0.9992868287
373	0.997557901
374	0.9959367715
375	0.9941043255
376	0.9929620751
377	0.9925876825
378	0.9914512593
379	0.9903455191
380	0.989682803
381	0.988131859
382	0.9864290364
383	0.9853906296
384	0.9844210509
385	0.9824579336
386	0.9802283594
387	0.9790584233
388	0.9783208708
389	0.9770679793
390	0.9760146256
391	0.975324316
392	0.9744509649
393	0.9734899523
394	0.9725024575
395	0.9711958647
396	0.9696537944
397	0.9689762492
398	0.9676358551
399	0.9669095522
400	0.966297391
401	0.9649885104
402	0.9634876524
403	0.9627804897
404	0.9618279287
405	0.959665714
406	0.9579299099
407	0.9567482035
408	0.9557235185
409	0.9536683506
410	0.9527155113
411	0.9507145932
412	0.9499061871
413	0.9488653433
414	0.9488108956
415	0.947282788
416	0.945499879
417	0.9441939938
418	0.942899365
419	0.9421446674
420	0.942109001
421	0.940636147
422	0.9405492205
423	0.9398134734
424	0.9387669219
425	0.9375983326
426	0.9366225832
427	0.9354653398
428	0.9348369864
429	0.9338916136
430	0.9336237091
431	0.9317832402
432	0.9310746925
433	0.9293396558
434	0.9279243658
435	0.9272384407
436	0.9258204945
437	0.924923069
438	0.9236143704
439	0.9221417472
440	0.922094505
441	0.9209051066
442	0.9200784222
443	0.9191287097
444	0.9175293471
445	0.9168578038
446	0.9156627785
447	0.9143823424
448	0.9130501572
449	0.9120150899
450	0.9102894865
451	0.9097370632
452	0.9086879556
453	0.9080298229
454	0.9071873447
455	0.9061295456
456	0.9056180627
457	0.9038898653
458	0.9032552495
459	0.9015495987
460	0.9000971976
461	0.8991052467
462	0.8984808585
463	0.8973530024
464	0.8961367995
465	0.8957333134
466	0.8946678795
467	0.8932807673
468	0.8914425347
469	0.8907977614
470	0.8898430845
471	0.8881161904
472	0.8880418438
473	0.8877451193
474	0.8873802514
475	0.8865283362
476	0.886329945
477	0.8849798508
478	0.8842190743
479	0.8835290246
480	0.8829614655
481	0.8816649257
482	0.879687218
483	0.8789873056
484	0.8781935258
485	0.8778115452
486	0.877637297
487	0.8755918787
488	0.8740657058
489	0.8721818381
490	0.8703587341
491	0.8684296441
492	0.8683079917
493	0.867719432
494	0.8672286379
495	0.8666629466
496	0.86501693
497	0.8639503121
498	0.8628277568
499	0.8622761328
500	0.8616242793
501	0.8608788964
502	0.860134166
503	0.8596926867
504	0.8586812935
505	0.857608829
506	0.8566664798
507	0.855779562
508	0.854285052
509	0.8530426737
510	0.852061818
511	0.8499179178
512	0.8491025306
513	0.8479771676
514	0.8468636694
515	0.8454581034
516	0.844802362
517	0.8437375325
518	0.8425847754
519	0.8412917838
520	0.8402877575
521	0.8401422943
522	0.8392700461
523	0.8386123388
524	0.8379595698
525	0.837631324
526	0.8370023366
527	0.8363010419
528	0.8354559526
529	0.8341907237
530	0.8336210637
531	0.8328719071
532	0.8314322372
533	0.8311214818
534	0.8310633268
535	0.830008474
536	0.8285263267
537	0.8273086382
538	0.8266069584
539	0.8251130623
540	0.8249845159
541	0.8241231258
542	0.823783458
543	0.8228356423
544	0.8216823872
545	0.8212979829
546	0.8204376149
547	0.8199992572
548	0.8191956778
549	0.8186753686
550	0.8183678834
551	0.818173237
