iter	Passed	Remaining
0	0	869
1	1	783
2	2	751
3	2	739
4	3	733
5	4	735
6	5	732
7	5	690
8	6	696
9	7	705
10	7	705
11	8	707
12	9	729
13	10	726
14	11	724
15	11	719
16	12	719
17	13	716
18	13	715
19	14	713
20	15	711
21	15	708
22	16	708
23	17	706
24	18	705
25	18	704
26	19	702
27	20	701
28	20	699
29	21	698
30	22	697
31	23	697
32	23	696
33	24	696
34	25	696
35	25	695
36	26	696
37	27	688
38	27	688
39	28	686
40	29	684
41	29	683
42	30	683
43	31	673
44	31	673
45	32	672
46	33	672
47	33	671
48	34	671
49	35	670
50	36	670
51	36	669
52	37	668
53	38	667
54	38	663
55	39	663
56	40	665
57	41	666
58	41	665
59	42	665
60	43	664
61	43	664
62	44	663
63	45	662
64	46	662
65	46	661
66	47	661
67	48	660
68	48	659
69	49	658
70	50	657
71	50	656
72	51	655
73	52	655
74	53	654
75	53	654
76	54	653
77	55	652
78	56	652
79	56	652
80	57	651
81	58	651
82	58	650
83	59	650
84	60	648
85	60	648
86	61	647
87	62	646
88	63	646
89	63	645
90	64	644
91	65	644
92	65	643
93	66	642
94	67	642
95	68	641
96	68	640
97	69	639
98	70	639
99	70	635
100	71	635
101	72	637
102	73	636
103	73	634
104	74	633
105	75	632
106	75	632
107	76	631
108	77	630
109	77	630
110	78	629
111	79	629
112	80	628
113	80	627
114	81	627
115	82	626
116	82	625
117	83	622
118	83	621
119	84	621
120	85	621
121	86	620
122	86	619
123	87	619
124	88	618
125	89	618
126	89	617
127	90	616
128	91	616
129	91	615
130	92	614
131	93	614
132	94	613
133	94	613
134	95	612
135	96	611
136	96	610
137	97	609
138	98	609
139	99	608
140	99	607
141	100	607
142	101	606
143	101	603
144	102	602
145	102	602
146	103	601
147	104	601
148	105	600
149	105	599
150	106	599
151	107	598
152	107	597
153	108	596
154	109	596
155	110	595
156	110	594
157	111	593
158	112	593
159	112	592
160	113	591
161	114	590
162	114	589
163	115	588
164	116	587
165	117	588
166	117	587
167	118	587
168	119	586
169	119	585
170	120	584
171	121	584
172	122	583
173	122	582
174	123	581
175	124	581
176	124	580
177	125	579
178	126	578
179	126	578
180	127	577
181	128	576
182	129	575
183	129	575
184	130	574
185	131	573
186	131	572
187	132	571
188	133	570
189	133	570
190	134	569
191	135	568
192	135	567
193	136	566
194	137	566
195	137	565
196	138	564
197	139	564
198	139	563
199	140	561
200	140	560
201	141	559
202	142	558
203	142	557
204	143	557
205	144	556
206	144	555
207	145	554
208	146	553
209	146	552
210	147	552
211	148	551
212	149	550
213	149	549
214	150	548
215	151	548
216	151	547
217	152	546
